,Gene,SLE001,SLE002,SLE004,SLE005,SLE006,SLE007,SLE008,SLE009,SLE010,SLE011,SLE012,SLE013,SLE014,SLE015,SLE016
18327,HLA-U,109,113,1,1,261,110,90,339,519,277,177,394,485,0,1
22190,LINC01291,21,44,0,0,63,21,35,20,0,29,0,40,35,22,0
15152,ERAP2,191,745,1040,490,197,116,64,354,1273,533,1434,1194,1673,111,342
13307,CXCL8,104,1366,5668,1473,727,369,165,1072,1684,576,3240,525,1484,711,502
7214,ATF1,62,82,114,89,116,77,56,62,168,130,138,142,227,110,49
7216,ATF2,85,208,309,194,283,171,96,155,362,297,308,288,529,231,101
7218,ATF4,539,723,826,721,637,577,633,577,981,865,705,651,1072,558,396
7224,ATF6,399,576,904,469,681,490,264,525,855,1298,883,966,1387,678,438
7226,ATF7,96,117,161,84,129,107,92,93,193,159,121,188,279,100,62
7227,ATF7IP,244,849,1259,554,955,694,323,583,1535,829,1152,1113,2355,938,406
8013,BTF3,1464,1495,1624,1552,2123,1806,1598,1155,1715,3285,2590,2088,1974,1693,2424
14555,E2F4,413,509,573,499,453,467,487,456,684,533,481,610,646,345,261
15177,ERH,90,234,385,140,332,131,124,87,479,387,333,386,425,224,169
18360,HMGB1,186,301,504,397,429,318,239,281,495,487,726,479,777,427,200
19762,ILF2,217,335,559,331,456,304,322,246,732,573,472,605,685,383,274
23605,MIER2,58,75,95,62,62,50,61,45,102,95,59,114,115,52,31
20111,JUND,1017,559,693,1031,531,874,1196,1179,738,881,628,484,1002,457,327
54410,TCEB2,777,474,529,607,495,568,717,501,541,984,478,545,554,433,704
18292,HLA-A,5473,17204,16803,9998,11190,8358,10463,9323,20876,14703,8729,15194,28319,8748,9206
18293,HLA-B,18391,50089,50174,24085,34402,23931,29321,29657,56210,50164,29350,49100,79063,30572,23523
18294,HLA-C,21767,50265,24762,18642,15869,20377,22894,32956,32635,28590,26249,35646,63304,18421,15363
18295,HLA-DMA,204,373,869,390,531,416,721,427,984,555,616,935,1111,418,274
18296,HLA-DMB,150,344,878,382,477,383,588,352,974,313,647,862,853,397,241
18297,HLA-DOA,11,115,291,154,205,231,216,133,444,145,317,82,325,125,109
18298,HLA-DOB,0,36,130,88,19,49,58,50,116,12,53,25,116,44,32
18299,HLA-DPA1,417,1198,3355,1634,2625,1755,3166,1398,3703,2144,2343,3296,4883,1336,1286
18300,HLA-DPA2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
18301,HLA-DPA3,0,3,3,0,0,1,0,0,0,0,0,0,1,0,0
18302,HLA-DPB1,355,662,1867,1469,1653,1473,2566,1282,2161,1071,1419,1669,2461,837,716
18303,HLA-DPB2,1,5,28,8,23,4,11,8,20,5,13,7,14,8,1
18304,HLA-DQA1,44,273,1128,360,633,467,456,496,884,202,479,511,1717,349,186
18305,HLA-DQA2,14,110,44,333,10,18,320,205,313,32,58,258,65,128,144
18306,HLA-DQB1,106,238,2181,424,1128,502,600,471,649,329,430,1364,1626,468,251
18307,HLA-DQB1-AS1,0,2,20,11,23,14,6,8,7,2,3,12,13,5,1
18308,HLA-DQB2,8,32,3,107,19,85,161,67,75,70,101,49,53,28,79
18309,HLA-DQB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18310,HLA-DRA,1457,3356,8352,4045,5352,4711,7000,4129,8676,6961,6536,8418,10269,4070,4447
18311,HLA-DRB1,477,1043,3566,1491,2197,2286,3731,1427,3695,2835,2249,3330,3921,1279,1356
18312,HLA-DRB5,392,688,2015,1245,1603,1171,1890,940,3211,651,814,2970,2737,690,661
18313,HLA-DRB6,122,230,176,435,50,141,723,266,607,275,149,563,65,320,271
18314,HLA-DRB9,2,0,2,1,2,6,9,0,0,3,2,1,0,1,3
18315,HLA-E,12375,33444,29852,19297,20407,19217,18094,20804,37033,32553,21944,30111,53031,19950,16839
18316,HLA-F,1086,3087,3038,1394,2381,1996,1750,1907,4307,2445,1995,3102,3865,1600,1079
18317,HLA-F-AS1,2,54,31,18,21,10,8,13,37,18,28,50,67,16,4
18318,HLA-G,426,894,468,813,727,726,712,445,675,537,217,492,649,507,453
18319,HLA-H,710,635,794,1054,941,1541,1088,940,1766,1008,377,1353,1603,476,483
18320,HLA-J,2,9,34,6,12,30,3,5,14,18,19,15,13,21,6
18321,HLA-K,2,35,19,45,3,4,23,2,6,18,9,3,59,20,19
18322,HLA-L,486,250,673,914,1164,1090,589,1112,1985,1586,41,744,1363,1182,762
18323,HLA-N,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0
18324,HLA-P,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
18325,HLA-S,1,2,16,1,8,2,2,0,13,12,1,3,5,11,8
18326,HLA-T,0,1,2,0,0,0,0,0,9,1,1,1,11,6,6
18327,HLA-U,109,113,1,1,261,110,90,339,519,277,177,394,485,0,1
18328,HLA-V,1,2,229,3,1,67,1,1,0,83,1,2,3,20,32
18329,HLA-W,4,10,19,13,28,5,1,7,63,33,6,8,52,30,13
18330,HLA-Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
